Author,Road Segment ID,Bounding Street #1,Bounding Street #2,Intersection #1 ID,Intersection #2 ID,Intersection #1 Latitude,Intersection #1 Longtitude,Intersection #2 Latitude,Intersection #2 Longtitude,Road Segment Street,Lanes in each direction,Lanes in Street #1 -> Street #2 direction,Lanes in Street #2 -> Street #1 direction,Length (m)
Marat,220,Spring St NW,Peachtree St NE,17,25,"33d45'34.80""N","84d23'20.65""W","33d45'34.77""N","84d23'15.31""W",Andrew Young International Blvd NW,4,2,2,138
Marat,221,Peachtree St NE,Peachtree Center Ave NE,25,26,"33d45'34.77""N","84d23'15.31""W","33d45'34.67""N","84d23'9.81""W",Andrew Young International Blvd NE,4,2,2,142
Marat,222,Peachtree Center Ave NE,Courtland St NE,26,31,"33d45'34.67""N","84d23'9.81""W","33d45'34.61""N","84d23'3.15""W",Andrew Young International Blvd NE,4,2,2,172
Marat,223,Courtland St NE,Piedmont Ave NE,31,32,"33d45'34.61""N","84d23'3.15""W","33d45'34.51""N","84d22'55.89""W",Andrew Young International Blvd NE,4,2,2,187
Marat,224,Jones Ave NW,Parking Lot Exit #1,246,P1,"33d45'51.14""N","84d24'12.96""W","33d45'50.55""N","84d24'11.76""W",Northside Dr NW,5,3,2,29
Marat,225,Parking Lot Exit #1,Ivan Allen Jr Blvd,P1,1,"33d45'50.55""N","84d24'11.76""W","33d45'48.19""N","84d24'10.66""W",Northside Dr NW,5,3,2,63
Marat,226,Centennial Olympic Park Dr NW,Andrew Young International Blvd NW,52,75,"33d45'28.29""N","84d23'36.59""W","33d45'32.34""N","84d23'39.63""W",Marietta St NW,4,2,2,149
Marat,227,Andrew Young International Blvd NW,Foundry St NW,75,76,"33d45'32.34""N","84d23'39.63""W","33d45'36.26""N","84d23'41.74""W",Marietta St NW,4,2,2,132
Marat,228,Foundry St NW,Parking Lot Exit #19,76,P19,"33d45'36.26""N","84d23'41.74""W","33d45'38.05""N","84d23'42.97""W",Marietta St NW,4,2,2,64
Marat,229,Parking Lot Exit #19,Parking Lot Exit #18,P19,P18,"33d45'38.05""N","84d23'42.97""W","33d45'39.03""N","84d23'43.88""W",Marietta St NW,4,2,2,38
Marat,230,Parking Lot Exit #18,Baker St NW,P18,78,"33d45'39.03""N","84d23'43.88""W","33d45'40.69""N","84d23'45.61""W",Marietta St NW,4,2,2,67
Marat,231,Baker St NW,Latimer St NW,78,82,"33d45'40.69""N","84d23'45.61""W","33d45'42.94""N","84d23'47.18""W",Marietta St NW,4,2,2,81
Marat,232,Latimer St NW,Simpson St NW,82,81,"33d45'42.94""N","84d23'47.18""W","33d45'48.04""N","84d23'49.72""W",Marietta St NW,4,2,2,170
Marat,233,Parking Lot Exit #20,Parking Lot Exit #21,P20,P21,"33d45'35.10""N","84d23'43.39""W","33d45'35.26""N","84d23'43.13""W",Foundry St NW,2,1,1,9
Marat,234,Parking Lot Exit #21,Marietta St NW,P21,76,"33d45'35.26""N","84d23'43.13""W","33d45'36.26""N","84d23'41.74""W",Foundry St NW,2,1,1,48
Marat,235,Marietta St NW,Walton St NW,43,42,"33d45'23.09""N","84d23'31.57""W","33d45'25.06""N","84d23'28.90""W",Cone St NW,4,2,2,93
Marat,236,Walton St NW,Poplar St NW,42,41,"33d45'25.06""N","84d23'28.90""W","33d45'26.57""N","84d23'26.70""W",Cone St NW,4,2,2,74
Marat,237,Poplar St NW,Luckie St NW,41,40,"33d45'26.57""N","84d23'26.70""W","33d45'28.14""N","84d23'24.53""W",Cone St NW,4,2,2,75
Marat,238,Luckie St NW,William St NW,40,39,"33d45'28.14""N","84d23'24.53""W","33d45'29.67""N","84d23'22.27""W",Cone St NW,4,2,2,76
Marat,239,Parking Lot Exit #22,Springs St NW,P22,47,"33d45'31.21""N","84d23'31.43""W","33d45'28.42""N","84d23'28.78""W",Nassau St NW,2,1,1,115
Marat,240,Centennial Olympic Park Dr NW,Springs St NW,49,48,"33d45'33.00""N","84d23'31.50""W","33d45'30.12""N","84d23'26.39""W",Luckie St NW,2,1,1,160
Marat,241,Centennial Olympic Park Dr NW,Forsyth St SW,91,177,"33d45'16.25""N","84d23'38.53""W","33d45'13.86""N","84d23'33.40""W",Alabama St SW,4,2,2,149
Marat,242,Springs St SW,Forsyth St SW,197,198,"33d45'6.20""N","84d23'46.26""W","33d45'3.66""N","84d23'41.31""W",Nelson St SW,2,1,1,150
Marat,243,Springs St SW,Forsyth St SW,187,185,"33d45'0.54""N","84d23'50.67""W","33d44'57.83""N","84d23'45.77""W",Garnett St SW,4,2,2,151
Marat,244,Springs St SW,Forsyth St SW,191,190,"33d44'51.35""N","84d23'52.13""W","33d44'51.40""N","84d23'50.55""W",Unnamed connection,2,1,1,40
Marat,245,Haynes St SW,Castleberry St SW,192,269,"33d44'56.82""N","84d23'59.27""W","33d44'54.65""N","84d24'1.73""W",Peters St SW,4,2,2,92
